name,id,tags,planetary,decivRemove,script,desc,icon,order,
Vulpoid Demand,vulpoid_demand,,,,vulpoids.impl.campaign.econ.VulpoidDemandCondition,Hidden condition that adds Vulpoid demand.,,1000,
Vulpoid Population,vulpoid_population,"show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.VulpoidPopulation,,graphics/icons/markets/vulp_pop_codex.png,21,
,,,,,,,,,
Anti-Vulpoid Sanctions,vulpoid_blockade,"show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.VulpoidBlockade,"Political sanctions and religious proclamations regarding Vulpoid manufacture are significantly impairing trade to and from $market. Any prospective trader is forced to cut through massive swathes of red tape, and any failure to abide by the strict and convoluted regulations could see the revocation of licenses or even seizure of assets.",graphics/icons/campaign/vulpoidAcceptance_sanctions.png,1390,
,,,,,,,,,
# AI Only,,,,,,,,,
Vulpoid Rangers,vulpoid_rangers,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.RangerWorkforce,"Partially-terraformed planets require constant attention to stretch out the lifespan of their unstable biospheres. Vulpoid senses could - in theory - fill out roles once occupied by Domain-era nanites in evaluating bioindicator species and other biochemical signatures.

Although Vulpoids can indeed be an asset to a trained ecologist, in practice their usefulness is limited by the lack of the terraforming equipment required to fully address most of the issues they'd be detecting. But they're still more useful than not, and governments can attest that sometimes appearing to address a problem is more important than actually solving it.",graphics/icons/markets/workforce_rangers.png,31,
Vulpoid Shipbreakers,vulpoid_shipbreakers,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.ShipbreakerWorkforce,"The genetic protection systems of Vulpoids - intended to prevent unauthorized modification - incidentally make them extremely tolerant to radiation. In combination with their small stature, dextrousness, and disregard for personal safety, they're an excellent choice for certain niches in shipbreaking where drones are too indelicate.

Shipbreaking teams of Vulpoids led by a human overseer can carry out jobs that would normally require substantial hazard pay, to the financial benefit of the administration. Any stability improvement from lower carcinoma rates is unfortunately counteracted by the aforementioned reduction in hazard pay.",graphics/icons/markets/workforce_shipbreakers.png,31,
Vulpoid Estate Servants,vulpoid_estateservants,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.EstateServantWorkforce,"The original design spec for Vulpoids, they fit seamlessly into the roles of housekeepers, to ladies maids, valets, companions, nannies, and more. A small contingent of experienced senior servants can oversee an entire estate's worth of Vulpoid underservants.

While a household of Vulpoid servants is a delightful luxury for the type of people who own mansions, it does little for the everyman except to depict Vulpoid ownership as a symbol of status and wealth.",graphics/icons/markets/workforce_estateservants.png,31,# Referenced https://donnahatch.com/the-hierarchy-of-servants/ for some of the particular servant titles.
,,,,,,,,,
# Player-Obtainable,,,,,,,,,
